,date,nevidenceIGI,nevidenceRCA,nevidenceIMP,nevidenceNR,nevidenceIPI,nevidenceISS,nevidenceNAS,nevidenceND,nevidenceIDA,nevidenceIC,nevidenceIEP,nevidenceTAS,nevidenceIEA
0,2007-01-01,698,7158,5486,124,1334,20095,2542,12611,6216,394,371,4516,1125127
1,2007-02-01,710,7904,5432,128,1343,20127,2546,12976,6320,432,386,4506,1127014
2,2007-03-01,734,7525,5686,128,1507,20180,2565,12762,6462,501,405,4493,1126806
3,2007-04-01,766,7523,5832,126,1554,20455,2577,13022,6729,502,418,4492,1142131
4,2007-05-01,778,7498,5904,124,1655,20961,2575,13387,6837,503,424,4477,1251755
5,2007-06-01,786,7493,5965,124,1693,21291,2578,13405,6927,507,434,4473,1320598
6,2007-08-01,831,10379,6154,118,1704,19664,2565,13219,7105,516,459,4456,1568738
7,2007-09-01,870,10434,6425,118,1706,19825,2586,13225,7325,519,465,4462,1596435
8,2007-10-01,935,10437,6669,116,1823,19852,2596,13228,7833,553,466,4613,1672524
9,2007-11-01,900,10295,6530,116,1763,19868,2594,13048,7429,547,460,4445,1711373
10,2007-12-01,914,10295,6617,115,1816,22557,2594,15100,7518,552,465,4445,1806203
11,2008-01-01,939,10215,6766,114,1822,22542,2538,15094,7617,554,469,4424,1861878
12,2008-03-01,975,10198,6969,112,1885,22580,2577,15254,7919,552,520,4391,1932142
13,2008-04-01,1001,10675,7158,112,1997,20526,2582,17601,8117,551,818,4385,1978132
14,2008-06-01,1040,10653,7318,112,1980,20427,2581,17564,8285,554,824,4352,2150427
15,2008-07-01,1058,10654,7401,,1998,21028,2581,17528,8431,558,857,4823,2232115
16,2008-08-01,1099,11132,8058,3,2157,21139,2584,17583,8690,560,898,4821,2275988
17,2008-10-01,1150,7517,8291,3,2186,22743,2580,17313,10254,559,936,4774,2277416
18,2009-01-01,1229,7516,8685,3,2204,22837,2446,17361,10842,577,1018,4745,2403141
19,2009-02-01,1259,7516,8805,3,2271,23156,2445,17385,11001,580,1042,4741,2403462
20,2009-03-01,1270,7518,8897,,2285,16495,2214,17065,11136,586,1077,4718,2659755
21,2009-04-01,1293,6134,9125,,2320,18343,2385,17325,11276,619,1104,4716,2721455
22,2009-08-01,1368,6268,9676,,2632,21030,2478,19518,11934,656,1174,4735,3274823
23,2009-09-01,1380,6316,9731,,2644,21020,2476,19510,11994,656,1027,4718,3282155
24,2009-10-01,1381,6363,9669,,2625,21242,2479,19601,12128,655,1023,4711,3464955
25,2009-11-01,1427,6364,9849,,2710,21342,2470,19608,12530,656,1056,4683,3643325
26,2009-12-01,1438,6363,9918,,2757,21742,2469,19618,12645,661,1065,4668,3826895
27,2010-01-01,1460,6364,11935,,2928,22036,2465,19619,12796,668,1073,4335,3833127
28,2010-02-01,1485,6464,12083,,3292,22257,2465,19724,13028,718,1136,4317,3955243
29,2010-03-01,1511,6465,12193,,3312,22282,2466,26271,13274,720,1170,4317,3960359
30,2010-04-01,1624,6465,12026,,5034,22756,2538,26922,13495,735,1208,4560,5539408
31,2010-05-01,1662,6447,12239,,5353,23201,2549,26954,14215,757,1237,4653,5781214
32,2010-06-01,1620,6445,12117,,5389,20492,2479,22131,13442,741,1151,4261,5770769
33,2010-07-01,1689,6433,12479,,5491,22781,2646,25213,14384,775,1269,4768,5950313
34,2010-08-01,1738,6432,11941,,5508,22919,2650,25195,14980,784,1270,4813,6104737
35,2010-09-01,1623,6431,11976,,4434,23561,2632,25383,15145,760,1292,4787,4642218
36,2010-10-01,1638,6430,12248,,4509,25489,2624,25370,15844,735,1354,4738,4792802
37,2010-11-01,1650,6429,12246,,4694,24651,2615,27841,16707,736,1369,4721,5036756
38,2010-12-01,1676,6424,12774,,4767,24971,2620,27941,17204,737,1401,7101,5203974
39,2011-01-01,1693,6423,12835,,4807,25132,2620,27913,17219,736,1397,7806,5318559
40,2011-03-01,1776,5827,13251,,4454,25707,2660,27766,18188,741,1457,8934,5126680
41,2011-04-01,1782,5316,13142,,4527,26790,2640,30139,18168,726,1450,8930,5882532
42,2011-05-01,1794,5316,13219,,4575,27001,2652,30038,18534,720,1465,8975,6199350
43,2011-06-01,2468,5318,15694,,6386,28000,2862,31930,24036,972,1607,9584,6244043
44,2011-07-01,1893,5372,13517,,4671,27881,2651,30863,19747,688,1550,9028,6531092
45,2011-08-01,1868,5370,13550,,4692,26629,2637,30052,19867,689,1561,11677,7119296
46,2011-09-01,1884,5370,13674,,4173,27008,2682,29973,20101,695,1566,11688,7119548
47,2011-10-01,1900,5370,13853,,4330,27157,2685,27372,20374,697,1576,11726,7316459
48,2011-11-01,2030,5369,14455,,4403,27524,2703,30458,20938,761,1597,11721,7596170
49,2012-02-01,2077,5369,14959,,4497,29165,2703,29252,22138,773,1605,12261,7829520
50,2012-03-01,2105,5370,15122,,4743,30477,2710,30538,22267,775,1690,12200,8839595
51,2012-04-01,2121,5401,15261,1,5000,31159,2709,32218,22508,776,1773,12277,8836890
52,2012-05-01,2129,5404,15079,2,4430,31747,2688,32060,21078,773,1749,12259,8627746
53,2012-06-01,2206,5404,15553,2,5097,32315,2715,32218,23013,779,1812,12438,9107782
